[root@66-116-196-192 AutoCarV8]# pm2 logs --lines 200
[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 200 lines:
PM2        | 2025-10-28T12:36:09: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:09: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:09: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:10: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:10: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:10: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:11: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:11: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:11: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:13: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:13: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:13: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:16: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:16: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:16: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:18: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:18: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:18: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:19: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:19: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:19: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:24: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:36:24: PM2 log: App [autocarv5:0] starting in -fork mode-
PM2        | 2025-10-28T12:36:24: PM2 log: App [autocarv5:0] online
PM2        | 2025-10-28T12:36:40: PM2 log: Stopping app:autocarv5 id:0
PM2        | 2025-10-28T12:36:40: PM2 log: App [autocarv5:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-28T12:36:40: PM2 log: pid=786815 msg=process killed
